id,win,draw,defeat,concede,c_win,c_draw,c_defeat,0:0,0:1,1:0,1:1,2:0,0:2,2:1,1:2,2:2,3:0,0:3,3:1,3:2,1:3,2:3,3:3,4:0,4:1,4:2,4:3,4:4,3:4,2:4,1:4,0:4,other
1&12,1.37,2.46,3.4,0,0,0,0,18.42,11.57,6.73,4.3,7.17,21.21,5.24,9.92,9.33,15.05,107.69,10.85,24.56,48.27,38.88,77.77,73.68,53.84,82.35,350,2000,2000,700,466.66,2000,280
1&13,1.23,2.91,3.62,0,0,0,0,20,16.86,9.85,5.8,7.07,31.81,4.5,9.85,9.85,14.28,77.77,8.38,13.59,30.43,35,51.85,36.84,37.83,53.84,350,2000,350,200,700,2000,140
1&14,3,2.57,1.41,0,0,0,0,28,9.33,16.09,5.05,20.58,10.6,8.97,4.87,7.07,77.77,19.44,24.56,21.53,9.52,14.43,77.77,700,350,280,350,1400,116.66,43.75,40,116.66,100
1&15,1.12,3.1,4.68,-1,1.94,2.64,1.86,28.57,22.58,10.37,6.39,6.69,42.42,4.79,11.96,8.91,9.33,127.27,7.14,14.43,48.27,41.17,56,29.16,21.53,46.66,233.33,1400,280,2000,233.33,700,63.63
1&16,2.55,2.42,1.6,0,0,0,0,21.53,9.92,12.5,4.63,16.09,11.57,8.04,5.38,7.77,48.27,21.87,21.87,22.58,12.17,16.09,46.66,700,155.55,233.33,466.66,2000,140,63.63,38.88,100,280
16&1,1.57,2.54,2.49,0,0,0,0,23.33,14.14,8.91,4.92,10.85,15.73,5.4,7.48,7.9,21.87,41.17,12.28,15.38,22.22,22.95,46.66,82.35,51.85,70,233.33,2000,233.33,116.66,175,700,350
15&1,4.57,3.11,1.12,1,1.85,2.55,2,32.55,9.79,17.94,6.03,37.83,6.79,13.72,4.89,9.52,155.55,10.14,53.84,28.57,7.17,12.72,53.84,2000,700,700,1400,1400,155.55,33.33,23.72,40,63.63
14&1,1.4,2.82,2.75,0,0,0,0,22.22,12.96,10.29,6.19,8.58,20.28,5.44,8.04,7.73,18.91,63.63,9.21,13.72,21.87,26.41,58.33,73.68,33.33,48.27,93.33,700,466.66,140,280,2000,200
13&1,3.7,2.96,1.21,1,1.64,2.56,2.31,26.41,8.91,16.86,5.76,26.92,7.1,10.14,5.24,8.97,73.68,11.66,38.88,31.11,8.58,12.06,70,1400,1400,2000,466.66,2000,280,70,22.95,38.88,175
12&1,3.15,2.63,1.36,0,0,0,0,13.59,6.69,10.14,5.01,20.89,7.32,9.65,5.3,9.92,82.35,15.21,35,45.16,12.17,17.94,155.55,1400,466.66,1400,1400,2000,350,116.66,60.86,45.16,280
11&1,2.72,2.48,1.51,0,0,0,0,19.17,8.75,11.96,4.74,20.89,9.65,8.28,5.32,8.53,56,20,24.13,25,11.86,15.55,43.75,1400,466.66,87.5,700,2000,466.66,63.63,41.17,100,466.66
10&1,2.58,2.59,1.52,0,0,0,0,20.89,9.03,12.17,5.12,20,10.68,7.17,5.69,8.18,58.33,18.91,22.22,23.33,10.85,15.05,51.85,700,280,350,466.66,1400,200,73.68,30.43,93.33,280
9&1,3.8,3.05,1.19,1,1.69,2.54,2.25,34.14,12.38,24.13,7.29,27.45,8.91,10.6,5.05,7.29,107.69,13.2,30.43,25.92,6.73,9.45,41.17,2000,155.55,1400,350,2000,116.66,34.14,22.95,45.16,73.68
8&1,1.62,2.51,2.39,0,0,0,0,21.87,10.85,9.52,5.05,10.68,18.18,5.83,6.63,7.65,20.58,42.42,12.28,18.91,26.41,24.56,43.75,100,31.81,100,280,2000,466.66,175,140,466.66,155.55
7&1,3.58,2.68,1.28,0,0,0,0,23.72,8.09,13.59,5.12,25.45,9.65,10.93,5.1,8.43,82.35,13.59,35.89,35,8.91,13.2,63.63,2000,700,700,350,1400,280,50,28,35.89,155.55
6&1,3.13,2.46,1.41,0,0,0,0,19.44,9.58,14.28,4.72,25,9.21,8.69,5.24,8.13,66.66,15.05,38.88,24.13,11.11,16.27,51.85,466.66,233.33,175,2000,2000,175,60.86,35,48.27,87.5
5&1,2.35,2.55,1.63,0,0,0,0,22.22,10.14,11.2,5.32,13.86,9.92,7.29,5.53,7.6,53.84,24.56,21.87,22.95,11.76,17.28,36.84,233.33,107.69,350,700,2000,350,116.66,43.75,82.35,350
4&1,1.84,2.55,2.02,0,0,0,0,31.11,11.2,14.73,5.53,12.84,15.38,6.14,6.39,7,29.78,31.81,13.86,14,15.9,16.27,28.57,77.77,56,53.84,233.33,700,140,100,140,280,350
3&1,3.27,2.71,1.32,0,0,0,0,27.45,8.33,13.72,5.49,23.72,7.48,9.15,5,7.6,87.5,13.72,29.78,35,10,17.5,58.33,2000,280,350,1400,1400,280,70,31.81,58.33,175
2&1,1.56,2.63,2.45,0,0,0,0,32.55,15.9,10.07,5.1,11.47,18.42,5.26,6.45,7.77,20.28,40,9.45,19.17,28,18.42,42.42,93.33,48.27,70,200,700,280,140,200,200,155.55
2&3,1.32,2.77,3.21,0,0,0,0,31.81,20.28,11.57,6.3,9.52,25.45,4.71,9.15,6.96,14.58,107.69,8.75,13.33,25.45,20.89,38.88,46.66,25.45,42.42,107.69,1400,280,175,175,466.66,466.66
2&4,1.13,3.1,4.37,-1,2,2.64,1.81,107.69,48.27,19.17,8.75,11.96,50,5.78,11.2,6.6,16.86,140,7.29,8,37.83,22.58,23.33,31.81,13.86,18.42,37.83,233.33,100,233.33,175,1400,15.73
2&5,1.72,2.54,2.19,0,0,0,0,28,17.07,14.89,6.19,11.86,15.38,5.9,6.63,6.16,21.21,36.84,13.46,13.33,17.07,14.43,30.43,100,43.75,56,155.55,1400,280,87.5,116.66,466.66,155.55
2&6,1.38,3,2.69,0,0,0,0,51.85,16.27,12.61,6.48,10.52,21.87,5.14,7.56,7.03,18.42,87.5,8.23,11.38,22.95,17.94,58.33,56,31.11,35,175,2000,700,140,77.77,2000,127.27
2&7,1.26,2.77,3.62,0,0,0,0,34.14,21.53,11.38,6.03,8.28,25,5.1,9.65,6.93,13.46,140,7.6,13.86,33.33,28,50,50,20.58,41.17,127.27,700,466.66,466.66,140,700,107.69
2&8,1.51,2.81,2.41,0,0,0,0,45.16,14.28,11.66,6.11,12.17,18.18,5.44,7.03,7.14,23.33,46.66,10.21,12.61,19.44,20.89,34.14,53.84,35,48.27,107.69,1400,127.27,93.33,155.55,700,100
2&9,1.15,3.27,3.89,-1,2.09,2.56,1.78,51.85,31.81,13.33,8.91,10.29,50,5.05,10.14,6.93,14.14,127.27,6.39,9.52,31.81,18.66,36.84,41.17,17.72,21.87,82.35,466.66,175,233.33,350,1400,37.83
2&10,1.51,2.56,2.63,0,0,0,0,31.11,15.55,11.57,5.44,10.29,20.58,5.42,7.4,6.79,21.21,73.68,11.2,12.5,21.53,19.44,37.83,100,35,53.84,100,1400,350,107.69,175,350,140
2&11,1.47,2.67,2.66,0,0,0,0,31.11,20,13.08,6.6,11.02,21.87,5.8,7.56,6.6,22.58,63.63,8.58,11.11,17.94,16.47,25.92,63.63,35,36.84,175,1400,233.33,116.66,700,700,87.5
2&12,1.32,2.58,3.46,0,0,0,0,30.43,15.38,9.92,5.07,8.38,28,4.77,9.33,7.29,15.21,107.69,8.64,15.21,41.17,28,51.85,51.85,37.83,53.84,155.55,1400,350,466.66,200,700,175
2&13,1.2,2.95,3.85,-1,2.21,2.63,1.67,46.66,25,14,6.48,7.77,43.75,4.66,9.79,7.36,13.46,127.27,7.36,12.28,26.92,22.95,37.83,38.88,24.13,35.89,77.77,1400,2000,280,1400,700,58.33
2&14,3.88,3.1,1.17,1,1.72,2.82,2.02,77.77,20.89,27.45,8.58,46.66,12.96,10.29,6,6.69,155.55,15.9,31.81,20,7.48,8.38,25,1400,200,200,280,280,50,16.09,12.96,29.78,20.28
2&15,1.05,3.88,8.53,-2,2.91,2.73,1.38,77.77,60.86,20,9.92,9.45,140,6.19,20.89,8.86,8.53,466.66,5.05,8.53,87.5,38.88,33.33,17.5,10.68,18.18,58.33,1400,280,700,1400,1400,12.17
2&16,1.24,3.09,3.3,0,0,0,0,58.33,24.13,17.94,8,11.38,25.45,5.24,10.21,7.14,17.28,100,7.03,9.33,25,20.58,25.45,38.88,19.44,25.45,77.77,466.66,140,155.55,127.27,280,31.11
16&2,3.21,3.2,1.24,0,0,0,0,56,15.38,25,8,37.83,12.17,8.75,6.22,7.52,77.77,15.38,28.57,15.73,6.33,9.79,29.78,1400,175,116.66,280,350,77.77,25,17.28,41.17,26.41
15&2,6.36,3.95,1.05,2,1.32,3,2.91,87.5,18.66,73.68,12.17,63.63,10.14,15.55,5.9,7.69,350,9.58,77.77,24.56,6.06,9.85,37.83,1400,1400,350,350,350,56,15.55,10.85,13.2,13.08
14&2,1.15,3.24,3.93,-1,2.01,2.7,1.77,58.33,32.55,14.58,9.65,12.72,43.75,5.51,12.17,6.96,14.73,93.33,6.93,9.45,38.88,16.86,25,32.55,14.14,19.44,87.5,233.33,200,100,155.55,700,18.18
13&2,3.62,3.19,1.19,1,1.69,2.73,2.1,50,12.06,21.53,7.65,36.84,8.13,9.33,5.46,7.69,107.69,12.06,31.81,22.58,7.25,11.02,31.11,700,466.66,280,350,2000,107.69,27.45,18.66,46.66,51.85
12&2,3.21,2.8,1.31,0,0,0,0,20.58,9.58,12.38,5.46,29.16,7.6,8.38,5.03,9.21,93.33,13.46,35.89,32.55,9.58,14.43,63.63,2000,466.66,280,700,1400,233.33,56,33.33,51.85,127.27
11&2,2.58,2.71,1.48,0,0,0,0,35,12.06,17.94,6.08,25.45,12.06,6.86,5.42,6.79,53.84,17.28,18.18,17.94,10.52,12.38,38.88,700,155.55,233.33,200,466.66,175,34.14,29.16,66.66,175
10&2,2.68,2.67,1.46,0,0,0,0,31.11,11.57,20.58,5.64,17.07,11.57,7.56,4.76,7.17,63.63,16.27,18.91,22.22,12.84,13.33,38.88,350,233.33,116.66,280,2000,155.55,45.16,33.33,50,155.55
9&2,4.26,2.8,1.19,1,1.69,2.53,2.25,63.63,15.38,37.83,7.07,43.75,11.57,12.38,4.77,6.11,107.69,12.96,29.78,21.21,7.29,8.97,29.16,700,280,350,155.55,700,140,20.28,20,42.42,46.66
8&2,2.43,2.65,1.56,0,0,0,0,37.83,12.5,14.73,6.03,18.66,11.29,6.93,6.06,6.73,73.68,25.45,16.86,19.44,9.65,11.66,28.57,700,140,140,200,700,280,34.14,37.83,100,107.69
7&2,3.34,2.91,1.27,0,0,0,0,35,11.57,18.42,6.45,31.81,10,9.09,5.36,7.82,73.68,15.55,37.83,18.66,7.32,10.14,31.11,1400,280,280,466.66,2000,73.68,33.33,24.13,58.33,87.5
6&2,2.72,2.66,1.45,0,0,0,0,34.14,13.59,15.38,5.66,21.87,11.66,8.04,5.95,6.96,73.68,15.9,22.58,18.42,7.52,14.43,38.88,280,155.55,200,200,2000,107.69,37.83,31.11,66.66,87.5
5&2,2.07,2.71,1.73,0,0,0,0,37.83,15.38,14.73,5.88,17.5,15.9,5.62,6.48,7.07,46.66,22.95,16.86,12.96,9.65,12.5,33.33,350,200,127.27,175,1400,155.55,34.14,63.63,87.5,175
4&2,4.21,3.22,1.13,1,1.82,2.94,1.84,60.86,22.95,40,9.21,51.85,14,13.2,6.25,7.17,116.66,15.38,31.81,17.28,6.82,8.69,23.72,1400,466.66,116.66,127.27,280,48.27,15.05,10.68,29.78,15.21
3&2,3.16,2.78,1.32,0,0,0,0,33.33,11.66,18.18,6.54,24.56,11.38,8.53,4.84,6.79,82.35,13.86,27.45,22.95,8.33,13.2,37.83,350,1400,155.55,1400,466.66,87.5,31.11,27.45,60.86,100
3&4,2.61,2.5,1.54,0,0,0,0,35.89,11.11,17.28,5.93,21.87,10.76,7.77,5.76,5.83,48.27,23.72,22.58,14.89,11.57,12.5,35,1400,116.66,233.33,200,350,155.55,45.16,41.17,60.86,82.35
3&5,2.16,2.55,1.74,0,0,0,0,28.57,10.93,14.28,5.22,17.28,9.92,6.96,5.55,7.1,37.83,31.81,16.09,15.05,14.89,13.86,41.17,140,70,93.33,466.66,1400,200,77.77,127.27,200,466.66
3&6,1.6,2.57,2.39,0,0,0,0,25,11.96,9.58,5.14,10.44,17.07,5.2,7.17,7.65,25,40,13.33,14.73,18.42,24.56,45.16,155.55,48.27,87.5,175,700,466.66,200,155.55,350,350
3&7,1.42,2.64,2.85,0,0,0,0,25.92,16.09,9.85,5.16,9.58,23.33,5.32,7.32,8,15.73,56,9.72,14.43,26.41,25.92,48.27,63.63,33.33,63.63,175,1400,280,280,175,700,280
3&8,3.18,2.64,1.35,0,0,0,0,24.13,10.29,16.86,5.6,28.57,8.38,7.9,5.07,7.48,93.33,17.72,25,30.43,9.58,13.86,42.42,1400,700,155.55,700,1400,116.66,46.66,32.55,58.33,82.35
3&9,1.27,3.04,3.15,0,0,0,0,46.66,20,12.72,6.66,8.86,25,5.18,8,7.52,14.89,127.27,7.65,10.85,29.78,21.21,42.42,32.55,32.55,32.55,116.66,1400,350,233.33,155.55,2000,127.27
3&10,1.77,2.57,2.08,0,0,0,0,21.87,12.06,11.76,5.83,12.06,16.47,5.69,6.08,6.57,26.92,35,14.43,14.89,14.58,18.66,56,200,45.16,107.69,466.66,1400,466.66,127.27,200,200,155.55
3&11,1.79,2.55,2.07,0,0,0,0,23.33,11.47,11.96,5.53,13.33,14.43,5.98,6,7.32,30.43,37.83,13.33,14.58,16.09,20.58,31.81,100,43.75,107.69,155.55,2000,350,233.33,107.69,200,200
3&12,1.48,2.65,2.63,0,0,0,0,18.66,12.84,8.38,5.1,8.91,17.94,4.89,7.95,9.15,20.58,56,10.44,18.91,20,27.45,58.33,93.33,77.77,93.33,350,1400,466.66,175,200,350,350
3&13,1.39,2.66,2.98,0,0,0,0,27.45,14.89,10.21,5.07,9.09,31.81,4.94,8.18,8.64,16.09,73.68,11.02,12.72,26.92,21.87,38.88,58.33,35.89,50,350,2000,280,155.55,140,1400,107.69
3&14,4.89,3.38,1.07,1,2,2.78,1.75,60.86,17.94,35.89,8.33,66.66,9.15,11.66,5.22,8.43,700,12.38,33.33,29.78,5.78,10.21,25.92,1400,700,200,280,466.66,77.77,24.13,12.38,29.16,19.44
3&15,1.25,2.91,3.45,0,0,0,0,40,18.91,11.2,6,8.97,22.58,4.87,9.85,7.6,12.17,87.5,7.48,12.06,37.83,24.13,50,45.16,40,35.89,127.27,1400,700,155.55,280,2000,116.66
3&16,3.28,2.52,1.37,0,0,0,0,23.72,10.76,17.94,5.38,22.58,9.21,9.09,5.2,6.69,82.35,15.73,31.11,27.45,8.97,13.33,56,1400,233.33,280,200,1400,127.27,45.16,30.43,58.33,200
16&3,1.35,2.81,2.99,0,0,0,0,30.43,14.14,9.72,5.42,9.33,20,4.79,8.38,8.97,18.91,127.27,8.64,13.86,28,25.92,38.88,45.16,37.83,46.66,155.55,1400,466.66,155.55,350,1400,280
15&3,3.84,2.68,1.25,1,1.58,2.63,2.39,26.41,11.47,21.53,5.83,29.16,9.09,9.39,4.89,7.4,116.66,11.76,43.75,30.43,7.69,12.72,36.84,466.66,2000,280,350,1400,107.69,50,24.56,48.27,93.33
14&3,1.08,3.43,4.56,-1,1.83,2.68,1.96,53.84,28.57,13.2,8.18,9.39,53.84,5.62,10.44,8.13,11.29,155.55,6.54,9.92,38.88,31.81,37.83,22.95,16.09,25,56,1400,466.66,466.66,1400,700,18.91
13&3,2.73,2.72,1.43,0,0,0,0,33.33,11.86,14.28,5.71,16.09,9.72,8.18,5.42,7,66.66,14.73,25,25,9.85,13.86,56,700,175,233.33,233.33,700,350,46.66,32.55,53.84,100
12&3,2.67,2.44,1.55,0,0,0,0,19.17,7.9,10.52,4.43,17.28,8.53,7.69,5.34,8.69,60.86,23.72,30.43,30.43,13.08,17.5,60.86,700,350,280,700,2000,466.66,82.35,73.68,116.66,466.66
11&3,2.08,2.53,1.8,0,0,0,0,25.92,13.33,11.38,5.05,14.43,13.72,6.42,5.71,7.36,45.16,27.45,14.14,19.17,12.96,15.9,46.66,233.33,233.33,127.27,200,1400,107.69,66.66,73.68,73.68,233.33
10&3,1.42,2.62,2.87,0,0,0,0,25.92,13.08,10.07,4.84,8.38,22.95,5.51,8.09,8.58,15.38,51.85,11.02,12.96,26.41,25.92,53.84,66.66,40,77.77,233.33,1400,1400,466.66,200,1400,100
9&3,2.91,2.75,1.38,0,0,0,0,37.83,14.58,19.17,6.39,19.71,10.07,8.8,5.09,6.54,73.68,17.5,26.41,18.18,8.38,11.2,36.84,466.66,233.33,87.5,466.66,1400,140,34.14,37.83,58.33,82.35
8&3,1.39,2.57,3.11,0,0,0,0,26.92,14.58,9.79,5.34,9.39,23.33,5.05,8.58,6.96,17.72,87.5,10.37,14.14,34.14,24.56,53.84,63.63,25,50,140,700,466.66,233.33,280,466.66,155.55
7&3,2.54,2.55,1.55,0,0,0,0,22.95,10.21,11.66,5.1,20.58,12.72,7.6,5.51,7.82,73.68,18.42,23.33,18.42,9.21,17.94,43.75,1400,155.55,175,280,1400,127.27,50,51.85,63.63,175
6&3,2.24,2.63,1.65,0,0,0,0,24.13,13.08,11.57,5.22,14.58,11.66,6.79,5.51,7.82,36.84,23.72,20.89,22.22,9.65,14.89,51.85,280,87.5,155.55,466.66,2000,233.33,87.5,82.35,100,116.66
5&3,1.87,2.5,2.01,0,0,0,0,28,12.72,10.44,5.03,12.61,14,5.55,6.16,6.89,37.83,38.88,15.38,19.17,13.2,18.91,50,350,70,77.77,280,1400,280,107.69,107.69,200,350
4&3,1.49,2.72,2.55,0,0,0,0,35.89,19.17,14.43,5.57,13.59,19.17,5.28,6.89,7.25,18.91,48.27,10.07,11.57,19.44,20.28,50,53.84,26.92,43.75,116.66,466.66,200,280,127.27,200,87.5
4&5,2.04,2.59,1.8,0,0,0,0,38.88,13.86,18.66,6.27,15.55,11.86,7.21,5.24,5.95,41.17,33.33,14,11.86,14.73,14.58,34.14,280,50,77.77,93.33,350,280,77.77,63.63,107.69,200
4&6,1.62,2.46,2.46,0,0,0,0,32.55,16.27,15.05,6.14,12.5,15.9,5.62,7.44,5.6,24.13,70,11.47,11.86,22.22,17.94,31.11,82.35,28,56,155.55,466.66,280,51.85,127.27,466.66,155.55
4&7,1.41,2.83,2.7,0,0,0,0,37.83,18.18,12.96,6.48,12.17,21.21,5.36,7.44,7.4,16.27,77.77,9.45,10.52,22.22,17.28,28.57,56,32.55,37.83,107.69,466.66,175,175,155.55,2000,73.68
4&8,1.68,2.71,2.13,0,0,0,0,50,14.89,17.28,6.14,15.55,15.21,5.3,6.48,6.48,25,46.66,11.47,12.72,17.72,14,34.14,70,43.75,45.16,93.33,700,200,82.35,100,200,175
4&9,1.27,3.03,3.15,0,0,0,0,66.66,32.55,15.21,7.1,12.72,36.84,5.53,8.04,7.29,18.42,100,6.86,9.27,25.45,16.47,28,58.33,19.17,22.22,60.86,700,140,140,127.27,350,56
4&10,1.66,2.56,2.28,0,0,0,0,27.45,14,13.86,5.64,13.33,17.72,5.62,6.82,7.03,25.45,38.88,12.28,11.47,15.21,20.28,29.16,77.77,42.42,58.33,116.66,2000,280,127.27,127.27,233.33,200
4&11,1.6,2.55,2.4,0,0,0,0,42.42,17.5,13.72,6.48,13.2,18.42,5.76,7.1,5.93,24.13,60.86,11.11,9.92,15.73,18.18,24.56,140,41.17,48.27,107.69,280,350,100,100,155.55,175
4&12,1.4,2.9,2.66,0,0,0,0,33.33,14.89,11.29,6.19,10.21,18.66,4.63,6.82,7.69,20,116.66,8.58,14,21.53,25,46.66,70,46.66,48.27,107.69,700,466.66,200,200,1400,280
4&13,1.38,2.78,2.88,0,0,0,0,48.27,20.89,14,6.54,12.38,22.58,5.28,8.28,6.54,19.17,73.68,8.53,10.07,25.92,14.89,32.55,50,22.22,38.88,100,466.66,175,233.33,200,2000,87.5
4&14,4.81,3.37,1.08,1,1.98,2.84,1.74,82.35,23.33,35.89,9.65,87.5,12.06,12.38,5.85,7.32,280,13.86,34.14,26.92,6.11,8.64,23.72,1400,350,155.55,127.27,466.66,45.16,16.66,11.47,21.53,16.47
4&15,1.27,2.82,3.43,0,0,0,0,42.42,24.13,14.58,6.51,12.5,35,5.44,9.39,6.93,13.72,107.69,7,10,23.33,19.71,32.55,35.89,19.44,35.89,66.66,466.66,350,233.33,280,1400,73.68
4&16,1.38,2.89,2.77,0,0,0,0,73.68,25.45,17.94,7.1,13.72,21.87,6.16,8.64,7.03,17.5,87.5,8.43,9.52,21.53,13.86,21.53,43.75,20.89,22.58,77.77,466.66,140,107.69,87.5,700,41.17
16&4,2.83,2.72,1.4,0,0,0,0,46.66,18.91,25.45,7.52,26.92,15.55,8.97,5.6,6.22,51.85,18.66,19.44,15.38,10.85,10.07,20.28,350,100,93.33,200,466.66,58.33,22.95,19.44,50,26.92
15&4,3.6,3,1.22,0,0,0,0,82.35,18.42,31.11,7,35,10,9.39,4.91,7.14,107.69,14.28,29.16,18.91,6.86,9.72,26.92,1400,233.33,155.55,466.66,1400,127.27,25,20.58,35.89,56
14&4,1.05,3.68,4.89,-1,1.67,2.82,2.1,107.69,38.88,25,11.66,12.38,66.66,6.06,13.72,7.77,12.28,140,5.55,7.82,45.16,25.45,22.22,21.21,14.43,13.86,50,350,100,140,233.33,1400,14.43
13&4,3.05,2.66,1.37,0,0,0,0,35,14.14,21.53,5.98,25.92,10.68,8.38,5.3,6.89,63.63,14.89,24.56,22.58,8.28,12.61,31.11,2000,116.66,107.69,233.33,350,140,31.81,24.56,53.84,127.27
12&4,2.7,2.72,1.44,0,0,0,0,33.33,9.85,12.28,5.14,21.87,10.52,7.36,5.42,8,48.27,18.18,24.13,31.81,9.58,14.28,63.63,700,233.33,155.55,700,700,107.69,53.84,31.11,58.33,200
11&4,2.03,2.7,1.76,0,0,0,0,38.88,20,15.38,6.86,15.9,12.06,5.8,6.14,6.22,56,29.78,15.05,14.28,11.57,11.66,27.45,200,66.66,82.35,200,700,100,45.16,50,100,280
10&4,2.19,2.5,1.74,0,0,0,0,40,14.73,16.27,6.08,15.73,16.09,6.96,6.54,5.8,48.27,22.58,16.47,14.89,10.21,12.61,28,175,77.77,100,100,466.66,140,51.85,42.42,107.69,100
9&4,3.12,2.76,1.33,0,0,0,0,70,15.9,28,7.36,25.92,12.28,9.03,5.51,6.06,87.5,17.72,31.81,15.05,7.9,8.38,21.53,700,127.27,155.55,100,1400,107.69,31.81,24.56,40,82.35
8&4,1.32,2.79,3.13,0,0,0,0,35,21.21,14.58,6.63,11.29,28,5.12,9.45,6.57,15.9,87.5,8.48,9.03,26.92,15.38,40,45.16,23.72,41.17,127.27,700,280,233.33,140,700,82.35
7&4,2.7,2.78,1.43,0,0,0,0,50,14.73,18.42,6.79,21.53,11.02,8.43,5.69,6.54,56,20.89,17.72,18.18,9.21,11.02,26.92,466.66,116.66,175,200,466.66,87.5,35,24.56,40,82.35
6&4,2.25,2.67,1.63,0,0,0,0,48.27,16.66,17.5,5.71,19.71,12.84,6.03,5.44,6.69,45.16,29.78,18.91,14.43,11.86,11.29,37.83,350,155.55,87.5,200,350,127.27,40,31.11,100,127.27
5&4,1.79,2.8,1.93,0,0,0,0,58.33,14,14.43,6.16,13.59,16.47,5.64,6.86,7.4,28.57,42.42,13.08,13.2,14.14,11.96,25,200,58.33,56,107.69,466.66,107.69,50,60.86,127.27,155.55
5&6,1.31,2.72,3.34,0,0,0,0,30.43,16.66,10,5.46,7.95,25,5,9.58,7.95,12.61,87.5,8.86,14.73,30.43,26.92,38.88,60.86,42.42,48.27,127.27,2000,280,200,200,2000,127.27
5&7,1.16,3.04,4.19,-1,2.15,2.51,1.76,29.16,19.44,10.37,6.66,7.36,36.84,5,11.29,7.95,11.76,82.35,7.07,10.52,45.16,35,56,42.42,25.92,42.42,175,1400,280,466.66,700,700,60.86
5&8,2,2.76,1.76,0,0,0,0,30.43,10.93,11.02,5.95,12.72,11.86,6.3,6.22,7.07,40,25.92,14.43,18.91,11.76,16.27,53.84,233.33,93.33,155.55,280,1400,350,53.84,66.66,233.33,200
5&9,1.11,3.17,4.69,-1,1.92,2.62,1.89,40,34.14,12.61,7.65,8.18,58.33,5.18,11.86,7.73,11.76,233.33,6.6,9.92,35.89,26.41,34.14,25,17.07,25,116.66,1400,350,200,280,1400,45.16
5&10,2,2.52,1.87,0,0,0,0,23.33,11.66,11.66,5.07,11.96,13.72,5.9,6.14,7.6,41.17,29.78,15.73,22.22,12.17,18.91,41.17,350,100,116.66,200,1400,155.55,63.63,77.77,127.27,700
5&11,1.34,2.77,3.06,0,0,0,0,28.57,17.94,10.29,5.83,9.85,22.58,4.87,8.18,8.04,14.28,82.35,8.86,15.21,29.78,20.89,34.14,48.27,28.57,45.16,233.33,1400,1400,280,280,350,140
5&12,1.19,2.94,3.98,-1,2.38,2.38,1.69,24.56,16.66,6.79,5.6,6.96,25,5,11.11,10.21,11.02,127.27,8.58,14.89,36.84,50,46.66,45.16,36.84,60.86,175,1400,1400,700,280,2000,466.66
5&13,1.17,3.05,4.05,-1,2.11,2.62,1.74,29.78,21.87,10.44,6.69,7.29,30.43,4.96,11.02,8.13,11.47,127.27,7.17,12.84,33.33,33.33,46.66,35,24.56,35.89,155.55,1400,466.66,350,280,1400,82.35
